category,Tilte,Base_Reviews
self direction,I donÕt like bro,Not user friendly and Can't text people who don't have the app . Which is Exactly why I got the app
self direction,I haven't been able to run this app at all ...,"I haven't been able to run this app at all on my Kindle Fire HD. Every time I launched this app, it would say, this app has stopped. So may be I can review this rating once I get it running on my Kindle Fire HD tablet."
self direction,One Star,Can't text people who don't have the app . Which is Exactly why I got the app
security,One Star,Not user friendly at all.Doesn't work on fireHD
power,"Download once, appears in every acct u have",It shows up everywhere.  No control over limits.
self direction,One Star,The key board stopped working so I deleted it right away
security,One Star,Doesn't work on fireHD.Not worth the money and it's free
self direction,junk,can't even get through the registration and startup before crashing.
security,One Star,Didn't like it. Doesn't work very well on my device.
stimulation,Don't waste your time,Complete waste of money to buy minutes if you live in Guam. Does not work. Keep trying to call and it rings once or twice then just ends the call. Purchased minutes as well and it does not work. So frustrating
security,Nope.,"Had to remove from my Kindle Fire HD, as it was constantly glitching out and causing problems with my kindle."
stimulation,It's bad now,Ever since the upgrade it sucks. I wasted 4.00 trying to buy more credits & it didn't give me any. I've waited 1 week & I still haven't gotten any. That's 4.00 gone. This stuff is so bad. I wouldn't recommend getting this.
security,Had issues with the app not sending my texts.,"Never had an issue in the past, but today my texts wouldn't send. It was my go to app when I didn't have service, but I don't know what to do in the event I need it again."
self direction,what the fuck,I can't log in I don't have a phone number?
security,Sending and calling,"It will not let me send text or call at all I hit send it doesn't, I hit call it doesn't work"
self direction,Why I don't like it,It shuts down before I can even message anyone before that I loved because I could text my.GF four hours but I ow I can't please fix before I find another app
stimulation,Horrible App.,This app doesnt work 90% of the time. Do not use this or waste your time
security,Not too sure about this one,"Nothing but problems with fire tablet 5th gen. Uses many permissions to your device then if you log out, you cant get back in. I tried several username accounts, each one did the same. Cant log back in. However, when I was inside the text part did work except you cant use your contacts to text. When you click on a contact, all you can do is invite them to use text me. All contacts must be manuallyventered to text. I repeat, this is with a fire hd 10 tablet, I did not test with android phone. Use with caution. I deleted app."
self direction,Instructions hard to follow. Can't get it to work ...,Instructions hard to follow.  Can't get it to work.  How do you put people's names to be able to text them.
self direction,doesnt do its job anymore,"Well, it USED to work, but now, the text button is blocked by an add and the ""get free coins""  thing. As you can tell, it kinda sucks now."
self direction,I don't need it.,This app is redundant. I can't get my own phone number through the app so I can only contact people who have the app
